model,accuracy,auroc,auprc,brier,emvr,trajectory_violation_rate
bce_only,0.6,0.09803921568627452,0.7484380997197423,0.29767727851867676,0.375,1.0
bce_plus_order,0.6,0.3529411764705883,0.833544006884473,0.2581997215747833,0.4375,1.0
