fold,model,test_questions,test_conditions,accuracy,auroc,auprc,brier,emvr,trajectory_violation_rate
1,bce_only,36,180,0.5722222222222222,0.6166186238877053,0.7481079333627157,0.248432919383049,0.2777777777777778,0.7777777777777778
1,bce_plus_order,36,180,0.5777777777777777,0.6174959268078707,0.747166739064125,0.2457464039325714,0.2777777777777778,0.7222222222222222
2,bce_only,35,175,0.68,0.7410457516339869,0.7647524466942819,0.20530718564987183,0.35714285714285715,0.8285714285714286
2,bce_plus_order,35,175,0.6685714285714286,0.7390849673202613,0.7617857719913874,0.2058294415473938,0.3,0.8
3,bce_only,35,175,0.5657142857142857,0.615425390935595,0.5761173050041449,0.24450886249542236,0.35714285714285715,0.8285714285714286
3,bce_plus_order,35,175,0.5428571428571428,0.6281473628412404,0.588402144926768,0.2402917891740799,0.29285714285714287,0.7428571428571429
4,bce_only,35,175,0.6457142857142857,0.7292795232936079,0.7932616015716814,0.2047261744737625,0.3142857142857143,0.8285714285714286
4,bce_plus_order,35,175,0.6514285714285715,0.719934994582882,0.7729575080438142,0.20654401183128357,0.30714285714285716,0.8
5,bce_only,35,175,0.5885714285714285,0.6690270128507737,0.7361923675205453,0.23120509088039398,0.34285714285714286,0.8
5,bce_plus_order,35,175,0.5771428571428572,0.6763703120902176,0.7409115213580673,0.22975803911685944,0.3357142857142857,0.7714285714285715
