fold,model,objective,feature_dim,accuracy,auroc,auprc,brier,emvr,trajectory_violation_rate
1,confidence_only,bce,1,0.7666666666666667,0.8076200025065797,0.8472317367362041,0.24035890400409698,0.3819444444444444,0.8888888888888888
1,entropy_only,bce,1,0.7166666666666667,0.7940844717383131,0.8443676005889416,0.24127277731895447,0.3680555555555556,0.8611111111111112
1,confidence_entropy,bce,2,0.7666666666666667,0.8072440155407945,0.8503568125029353,0.2246309071779251,0.3819444444444444,0.8888888888888888
1,hidden_only,bce,2048,0.5666666666666667,0.62614362702093,0.7293571398221149,0.3766686022281647,0.375,0.8055555555555556
1,hidden_plus_signals,bce,2050,0.5666666666666667,0.6439403434014287,0.7369035807899629,0.3664044737815857,0.3611111111111111,0.8611111111111112
1,hidden_plus_signals,bce_plus_order,2050,0.6277777777777778,0.6584785060784558,0.7586581428870143,0.3295625150203705,0.3680555555555556,0.75
2,confidence_only,bce,1,0.7542857142857143,0.804313725490196,0.8359318969894316,0.23899030685424805,0.45714285714285713,0.9428571428571428
2,entropy_only,bce,1,0.72,0.78,0.8268565473412346,0.24091371893882751,0.4714285714285714,0.9428571428571428
2,confidence_entropy,bce,2,0.7428571428571429,0.7976470588235294,0.8352463339188221,0.22293443977832794,0.4714285714285714,0.9428571428571428
2,hidden_only,bce,2048,0.6742857142857143,0.6407843137254903,0.5929431827042433,0.3034983277320862,0.4714285714285714,0.9142857142857143
2,hidden_plus_signals,bce,2050,0.6571428571428571,0.6450980392156863,0.5875088737989396,0.3098004460334778,0.4714285714285714,0.9142857142857143
2,hidden_plus_signals,bce_plus_order,2050,0.7142857142857143,0.7311111111111112,0.6944830633085016,0.24041582643985748,0.38571428571428573,0.9142857142857143
3,confidence_only,bce,1,0.6228571428571429,0.6648555526106547,0.612227006616633,0.24293535947799683,0.4357142857142857,0.9714285714285714
3,entropy_only,bce,1,0.6171428571428571,0.6506758547574875,0.6163035849407602,0.24381308257579803,0.39285714285714285,0.8571428571428571
3,confidence_entropy,bce,2,0.6285714285714286,0.6590246488205672,0.6167737156042271,0.2344161719083786,0.4142857142857143,0.9428571428571428
3,hidden_only,bce,2048,0.6,0.6248343493241453,0.5297937186130385,0.36062103509902954,0.4357142857142857,0.8857142857142857
3,hidden_plus_signals,bce,2050,0.6057142857142858,0.6280148423005566,0.5539393503007519,0.359857976436615,0.4642857142857143,0.8857142857142857
3,hidden_plus_signals,bce_plus_order,2050,0.5828571428571429,0.6201298701298701,0.5225336775849149,0.3553665280342102,0.4142857142857143,0.9142857142857143
4,confidence_only,bce,1,0.7142857142857143,0.7746478873239437,0.8479639125503402,0.24076546728610992,0.44285714285714284,0.9142857142857143
4,entropy_only,bce,1,0.7257142857142858,0.7949620801733478,0.8659611923832519,0.24112264811992645,0.42142857142857143,0.9428571428571428
4,confidence_entropy,bce,2,0.7142857142857143,0.7911700975081257,0.8640533286401937,0.2246609479188919,0.4357142857142857,0.9142857142857143
4,hidden_only,bce,2048,0.5428571428571428,0.5601300108342362,0.6151252859167865,0.3888356685638428,0.37142857142857144,0.8
4,hidden_plus_signals,bce,2050,0.6228571428571429,0.5977112676056338,0.6326624270760134,0.33174100518226624,0.3357142857142857,0.8
4,hidden_plus_signals,bce_plus_order,2050,0.6171428571428571,0.6249322860238353,0.647173639674175,0.31074097752571106,0.4357142857142857,0.8285714285714286
5,confidence_only,bce,1,0.7028571428571428,0.7554419092578022,0.7691465252996644,0.24212995171546936,0.4642857142857143,0.8857142857142857
5,entropy_only,bce,1,0.7028571428571428,0.7377393128769998,0.7612914771383524,0.2434728592634201,0.4142857142857143,0.8571428571428571
5,confidence_entropy,bce,2,0.7314285714285714,0.7511146079202728,0.767242607232274,0.2303382009267807,0.4357142857142857,0.8857142857142857
5,hidden_only,bce,2048,0.6114285714285714,0.6243115656963021,0.6184822176241844,0.34063929319381714,0.39285714285714285,0.8857142857142857
5,hidden_plus_signals,bce,2050,0.6114285714285714,0.6340152111198532,0.6308611915931353,0.3399292528629303,0.38571428571428573,0.8857142857142857
5,hidden_plus_signals,bce_plus_order,2050,0.6171428571428571,0.6330972987149226,0.638359655126572,0.3224272131919861,0.37142857142857144,0.8285714285714286
