model,objective,feature_dim,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auprc_mean,brier_mean,emvr_mean,emvr_std,trajectory_violation_rate_mean
confidence_entropy,bce,2,0.7167619047619047,0.0528447003802334,0.761240085722658,0.0610085151769196,0.7867345595796904,0.2273961335420608,0.4278174603174604,0.0328408680267255,0.9149206349206348
confidence_only,bce,1,0.7121904761904763,0.0565941913479737,0.7613758154378353,0.058115637371204,0.7825002156384546,0.2410359978675842,0.4363888888888889,0.0324632522832082,0.9206349206349206
entropy_only,bce,1,0.6964761904761905,0.0451397427095246,0.7514923439092296,0.0609702881064363,0.7829560804785081,0.2421190172433853,0.4136111111111111,0.0384397656505648,0.8922222222222222
hidden_only,bce,2048,0.599047619047619,0.0500521270227463,0.6152407733202208,0.0315549393594503,0.6171403089360735,0.3540525853633881,0.4092857142857142,0.0431241681374959,0.8582539682539683
hidden_plus_signals,bce,2050,0.6127619047619047,0.0325875760586559,0.6297559407286317,0.019265326033655,0.6283750847117606,0.341546630859375,0.4036507936507936,0.0612722057278778,0.8693650793650793
hidden_plus_signals,bce_plus_order,2050,0.6318412698412699,0.0491048107511014,0.6535498144116391,0.0458099545743002,0.6522416357162355,0.311702612042427,0.3950396825396826,0.0291437119475563,0.8471428571428572
