fold,model,objective,feature_dim,accuracy,auroc,auprc,brier,emvr,trajectory_violation_rate
1,confidence_only,bce,1,0.7055555555555556,0.7393353174603176,0.7907084726095932,0.24308988451957703,0.3819444444444444,0.8888888888888888
1,entropy_only,bce,1,0.6611111111111111,0.7118055555555555,0.7744708537159466,0.2439635843038559,0.3888888888888889,0.8888888888888888
1,confidence_entropy,bce,2,0.6833333333333333,0.7265625,0.7837611419690094,0.23340123891830444,0.375,0.8611111111111112
1,hidden_only,bce,2048,0.5833333333333334,0.587921626984127,0.6946677775531622,0.3710647523403168,0.3819444444444444,0.9444444444444444
1,hidden_plus_signals,bce,2050,0.5777777777777777,0.6049107142857143,0.7045335476100932,0.3615146577358246,0.375,0.9722222222222222
1,hidden_plus_signals,bce_plus_order,2050,0.5666666666666667,0.5811011904761905,0.6963650926646613,0.36899489164352417,0.3472222222222222,0.8611111111111112
2,confidence_only,bce,1,0.7314285714285714,0.7841594544977708,0.8123422160091484,0.2401130497455597,0.4785714285714286,0.9142857142857143
2,entropy_only,bce,1,0.7257142857142858,0.7446892210857593,0.7929903723182354,0.24200522899627686,0.4785714285714286,0.9714285714285714
2,confidence_entropy,bce,2,0.7314285714285714,0.7705218987673748,0.807446261472095,0.22582244873046875,0.4714285714285714,0.9142857142857143
2,hidden_only,bce,2048,0.7085714285714285,0.6904012588512982,0.6441932772232993,0.2587870955467224,0.5,0.9428571428571428
2,hidden_plus_signals,bce,2050,0.7028571428571428,0.6876475216365067,0.6400104646438891,0.26878800988197327,0.4714285714285714,0.9428571428571428
2,hidden_plus_signals,bce_plus_order,2050,0.7657142857142857,0.7445580907421978,0.6887500046012333,0.21259306371212006,0.4142857142857143,0.8857142857142857
3,confidence_only,bce,1,0.5771428571428572,0.6327891156462585,0.5155568617573163,0.24388331174850464,0.40714285714285714,0.9142857142857143
3,entropy_only,bce,1,0.5942857142857143,0.6063945578231292,0.5141658904658108,0.24473096430301666,0.4142857142857143,0.9428571428571428
3,confidence_entropy,bce,2,0.5714285714285714,0.6202721088435375,0.5235966869009511,0.2371649146080017,0.40714285714285714,0.9142857142857143
3,hidden_only,bce,2048,0.5371428571428571,0.5839455782312926,0.5309159227934523,0.40482744574546814,0.4857142857142857,0.8857142857142857
3,hidden_plus_signals,bce,2050,0.52,0.5964625850340136,0.5441566484749776,0.3950366675853729,0.4714285714285714,0.8857142857142857
3,hidden_plus_signals,bce_plus_order,2050,0.5485714285714286,0.5862585034013605,0.5269693533378085,0.39253854751586914,0.42857142857142855,0.8857142857142857
4,confidence_only,bce,1,0.7142857142857143,0.7558479532163742,0.805768268791879,0.2405596524477005,0.42142857142857143,0.8571428571428571
4,entropy_only,bce,1,0.7428571428571429,0.7845560871876661,0.8389597239192859,0.24111412465572357,0.42857142857142855,0.8285714285714286
4,confidence_entropy,bce,2,0.72,0.7779106858054227,0.8306988048904919,0.22466665506362915,0.40714285714285714,0.8571428571428571
4,hidden_only,bce,2048,0.5257142857142857,0.5009968102073366,0.5485841971192721,0.41711530089378357,0.45,0.9142857142857143
4,hidden_plus_signals,bce,2050,0.5885714285714285,0.5462519936204147,0.5735173371296212,0.36718279123306274,0.4357142857142857,0.8857142857142857
4,hidden_plus_signals,bce_plus_order,2050,0.5771428571428572,0.5743620414673046,0.5984780672697831,0.36905437707901,0.37857142857142856,0.8571428571428571
5,confidence_only,bce,1,0.5542857142857143,0.5929806181246726,0.6306143806265037,0.24767142534255981,0.4142857142857143,0.8857142857142857
5,entropy_only,bce,1,0.5885714285714285,0.5670508119434259,0.6230970560513922,0.24868468940258026,0.35714285714285715,0.7714285714285715
5,confidence_entropy,bce,2,0.5828571428571429,0.5842063907805134,0.6280310705450998,0.24738825857639313,0.39285714285714285,0.8571428571428571
5,hidden_only,bce,2048,0.5885714285714285,0.5952069146149817,0.6073342391128034,0.35976749658584595,0.4642857142857143,0.8857142857142857
5,hidden_plus_signals,bce,2050,0.5942857142857143,0.5988737558931377,0.618051254553649,0.35205909609794617,0.45714285714285713,0.8857142857142857
5,hidden_plus_signals,bce_plus_order,2050,0.5428571428571428,0.6011000523834469,0.6289825296212925,0.3674619793891907,0.38571428571428573,0.8571428571428571
