model,objective,feature_dim,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auprc_mean,brier_mean,emvr_mean,emvr_std,trajectory_violation_rate_mean
confidence_entropy,bce,2,0.7167619047619047,0.05284470038023344,0.761240085722658,0.061008515176919645,0.7867345595796904,0.22739613354206084,0.4278174603174604,0.032840868026725534,0.9149206349206349
confidence_only,bce,1,0.7121904761904763,0.05659419134797377,0.7613758154378353,0.05811563737120404,0.7825002156384546,0.24103599786758423,0.4363888888888889,0.03246325228320827,0.9206349206349206
entropy_only,bce,1,0.6964761904761905,0.045139742709524686,0.7514923439092296,0.06097028810643639,0.7829560804785081,0.2421190172433853,0.4136111111111111,0.03843976565056484,0.8922222222222222
hidden_only,bce,2048,0.599047619047619,0.050052127022746334,0.6152407733202208,0.03155493935945035,0.6171403089360735,0.3540525853633881,0.40928571428571425,0.043124168137495936,0.8582539682539683
hidden_plus_signals,bce,2050,0.6127619047619047,0.03258757605865591,0.6297559407286317,0.019265326033655,0.6283750847117606,0.341546630859375,0.40365079365079365,0.061272205727877845,0.8693650793650793
hidden_plus_signals,bce_plus_order,2050,0.6318412698412699,0.049104810751101444,0.6535498144116391,0.04580995457430026,0.6522416357162355,0.31170261204242705,0.3950396825396826,0.029143711947556328,0.8471428571428572
