model,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auprc_mean,brier_mean,emvr_mean,emvr_std,trajectory_violation_rate_mean,setting,status
bce_only,0.5978730158730159,0.0599276880112641,0.6049238114348441,0.0525804555172948,0.6142049238687128,0.3521484732627868,0.4492460317460317,0.0437004587589421,0.9088888888888887,mask_train_blur_test,primary_frozen
bce_plus_order,0.6025714285714285,0.0884584532940955,0.6204745331384498,0.0716210179991883,0.6300418330611548,0.3383234083652496,0.4022222222222222,0.0346553778351928,0.8863492063492064,mask_train_blur_test,primary_frozen
native_confidence,,,0.7010224917890787,0.0832380599317706,0.7109980399588881,,0.4206746031746031,0.0356249986186807,0.8920634920634921,mask_train_blur_test,primary_frozen
