model,objective,feature_dim,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auprc_mean,brier_mean,emvr_mean,emvr_std,trajectory_violation_rate_mean
confidence_entropy,bce,2,0.6578095238095238,0.0758591008027591,0.6958947168393697,0.0886417077197076,0.7147067931555294,0.2336887031793594,0.4107142857142857,0.0364215679542341,0.8807936507936507
confidence_only,bce,1,0.6565396825396825,0.0838230809140772,0.7010224917890787,0.0832380599317706,0.7109980399588881,0.2430634647607803,0.4206746031746031,0.0356249986186807,0.8920634920634921
entropy_only,bce,1,0.6625079365079365,0.0717179675411174,0.6828992467191072,0.0925493329255745,0.7087367792941341,0.2440997183322906,0.4134920634920635,0.0453979353843653,0.8806349206349207
hidden_only,bce,2048,0.5886666666666667,0.0724970872821735,0.5916944377778072,0.0671857734055993,0.6051390827603979,0.3623124182224274,0.4563888888888889,0.045845013285354,0.9146031746031744
hidden_plus_signals,bce,2050,0.5966984126984126,0.0662989100773929,0.6068293140939574,0.050930431544063,0.616053850482446,0.3489162445068359,0.4421428571428571,0.0402796347996333,0.9144444444444444
hidden_plus_signals,bce_plus_order,2050,0.6001904761904762,0.0935478584151393,0.6174759756941001,0.0717190730034274,0.6279090094989558,0.3421285718679428,0.3908730158730158,0.0318302454446912,0.8693650793650793
