model,objective,feature_dim,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auprc_mean,brier_mean,emvr_mean,emvr_std,trajectory_violation_rate_mean
confidence_entropy,bce,2,0.6578095238095238,0.07585910080275919,0.6958947168393697,0.0886417077197076,0.7147067931555294,0.23368870317935944,0.4107142857142857,0.03642156795423418,0.8807936507936507
confidence_only,bce,1,0.6565396825396825,0.08382308091407724,0.7010224917890787,0.08323805993177061,0.7109980399588881,0.24306346476078033,0.42067460317460315,0.03562499861868072,0.8920634920634921
entropy_only,bce,1,0.6625079365079365,0.07171796754111745,0.6828992467191072,0.09254933292557455,0.7087367792941341,0.24409971833229066,0.4134920634920635,0.04539793538436538,0.8806349206349207
hidden_only,bce,2048,0.5886666666666667,0.07249708728217356,0.5916944377778072,0.06718577340559936,0.6051390827603979,0.3623124182224274,0.4563888888888889,0.04584501328535408,0.9146031746031745
hidden_plus_signals,bce,2050,0.5966984126984126,0.06629891007739296,0.6068293140939574,0.05093043154406304,0.616053850482446,0.34891624450683595,0.44214285714285717,0.04027963479963338,0.9144444444444444
hidden_plus_signals,bce_plus_order,2050,0.6001904761904762,0.09354785841513931,0.6174759756941001,0.07171907300342742,0.6279090094989558,0.3421285718679428,0.39087301587301587,0.03183024544469124,0.8693650793650793
