severity,n,accuracy,mean_c_seq,mean_entropy
0.0,23,1.0,-0.12631671738547637,0.37038621814091405
0.25,23,0.9565217391304348,-0.17426118526466028,0.45692290196134505
0.5,23,0.9130434782608695,-0.1772083552198677,0.44705126682579843
0.75,23,0.782608695652174,-0.29437703677103855,0.6642958218656966
1.0,23,0.7391304347826086,-0.27913147948034434,0.7009060634603805
