model,test_n,accuracy,auroc,auprc,brier
confidence_only,20,0.75,0.7843137254901962,0.9606307212890715,0.17252019047737122
confidence_entropy,20,0.65,0.7647058823529412,0.9557287605047576,0.18201245367527008
hidden_plus_signals,20,0.75,0.803921568627451,0.9651556081668994,0.2076507806777954
