delta_emvr,delta_auroc,delta_aurc,delta_brier
-0.08238636363636365,0.007235950153497761,-0.021411707872823593,-0.01889521236647479
-0.05539772727272724,0.005288012454592539,-0.014202319273733832,-0.005996160189030986
-0.05539772727272729,-0.0077242231638418035,0.006592311663883299,-0.006445347048490591
-0.06392045454545453,0.03267629496477198,-0.03602593805477733,-0.020093981660454174
-0.06818181818181818,0.0025316455696201556,-0.014026623424319817,-0.011446427561850492
-0.04971590909090906,0.010166684835365647,-0.008494861908151075,-0.0011968681311564366
-0.058238636363636354,0.039758369979175257,-0.02853040878440971,-0.04304121442143671
-0.06107954545454547,0.015880323427313492,-0.004956110572367778,-0.024678125684917174
-0.04545454545454547,0.0034383479359556546,-0.0025012144869291375,-0.0017699510538815577
-0.046875,0.003942747160962656,0.0031664439202291894,0.010945613438182733
-0.042613636363636354,0.026324512744016593,-0.037129957442749106,-0.0006066409793270555
-0.03835227272727271,0.016509043927648515,-0.008609905794839723,-0.017304765758763163
-0.06676136363636365,0.029773755656108625,-0.03407575010503705,-0.033742402928902515
-0.058238636363636354,2.8437881326115466e-05,-0.0023621370850596124,-0.004910401471321768
-0.0625,0.006591567797493703,-0.009356478006316005,-0.010072495768736534
-0.044034090909090884,0.029080103359173215,-0.023195447223085863,-0.024463923547094257
-0.03693181818181823,-0.007376171769449824,0.007110617518900353,0.0100256722605932
-0.03125,0.024539559819705237,-0.014655627145292893,-0.02067451102825224
-0.03125,0.04556975803943519,-0.033464297664748455,-0.02797935027719195
-0.042613636363636354,0.03386377695769949,-0.015575354895497662,-0.027654663824077774
-0.06107954545454547,0.011491032844121452,-0.004466873590677711,-0.01587940253429243
-0.04829545454545453,0.017186326070623537,-0.025157462084803017,-0.016879865620527346
-0.042613636363636354,0.0070431993222824785,-0.007588815901790391,-0.007709162169311723
-0.024147727272727237,0.009661458333333317,-0.01228335582916873,-0.009928511920664407
-0.08806818181818182,0.002569784499679706,0.0037947410716407393,-0.022457448607186403
-0.06960227272727271,0.03459350244678816,-0.027444519778082155,-0.03253730006608757
-0.04545454545454547,0.008523123492311102,-0.007754155949238339,-0.02413057134715435
-0.03693181818181818,0.007358588479501882,-0.00818408229877865,-0.01691863447878955
-0.034090909090909116,0.028101091216270357,-0.028849865669564656,-0.00613581720585854
-0.05539772727272729,0.009329710144927561,-0.004520472002241871,-0.00503486665470243
-0.04829545454545453,0.01915455054738502,-0.01717455568253301,-0.02739926424439515
-0.019886363636363646,0.04187702499496182,-0.032612175364537976,-0.02308813251082864
-0.05539772727272724,-0.0027454079629744,0.004224240661161338,0.0038548474049155956
-0.03267045454545453,0.06517595648737862,-0.04348600421145088,-0.039429803337045766
-0.022727272727272763,-0.004512654040195185,-0.006703242067509829,0.021040241386830527
-0.0625,0.002113695090439238,0.010440835413342842,-0.005575535198295289
-0.06676136363636359,0.020764891836608124,-0.015609025593877557,-0.022321320943203826
-0.08096590909090906,0.002836438923395357,-0.025139492686442888,-0.014804177454256051
-0.03835227272727271,0.008151538347047738,0.0005413012128373529,-0.0002756240786611075
-0.048295454545454586,0.04454752545314611,-0.05587393110028005,-0.03163884712780907
-0.035511363636363646,0.02297169003781918,-0.031157438467447174,-0.024763923525247866
